"ESmeasure" "K" "npilot" "ES" "alpha" "power" "CountNAn" "CountNAES" "CountNAp"
"94" "eta" 3 25 0.0099 0.05 0.9 960 960 960
"95" "epsilon" 3 25 0.0099 0.05 0.9 504236 504236 504236
"96" "omega" 3 25 0.0099 0.05 0.9 504905 504905 504905
"97" "eta" 4 25 0.0099 0.05 0.9 26 26 26
"98" "epsilon" 4 25 0.0099 0.05 0.9 466424 466424 466424
"99" "omega" 4 25 0.0099 0.05 0.9 467251 467251 467251
"100" "eta" 2 50 0.0099 0.05 0.9 34809 34809 34809
"101" "epsilon" 2 50 0.0099 0.05 0.9 477502 477502 477502
"102" "omega" 2 50 0.0099 0.05 0.9 477057 477057 477057
"103" "eta" 3 50 0.0099 0.05 0.9 1390 1390 1390
"104" "epsilon" 3 50 0.0099 0.05 0.9 403514 403514 403514
"105" "omega" 3 50 0.0099 0.05 0.9 403889 403889 403889
"106" "eta" 4 50 0.0099 0.05 0.9 50 50 50
"107" "epsilon" 4 50 0.0099 0.05 0.9 358122 358122 358122
"108" "omega" 4 50 0.0099 0.05 0.9 358710 358710 358710
"109" "eta" 2 10 0.0588 0.05 0.9 12792 12792 12792
"110" "epsilon" 2 10 0.0588 0.05 0.9 429671 429671 429671
"111" "omega" 2 10 0.0588 0.05 0.9 428900 428900 428900
"112" "eta" 3 10 0.0588 0.05 0.9 235 235 235
"113" "epsilon" 3 10 0.0588 0.05 0.9 355164 355164 355164
"114" "omega" 3 10 0.0588 0.05 0.9 355226 355226 355226
"115" "eta" 4 10 0.0588 0.05 0.9 4 4 4
"116" "epsilon" 4 10 0.0588 0.05 0.9 310470 310470 310470
"117" "omega" 4 10 0.0588 0.05 0.9 309231 309231 309231
"118" "eta" 2 25 0.0588 0.05 0.9 8350 8350 8350
"119" "epsilon" 2 25 0.0588 0.05 0.9 217802 217802 217802
"120" "omega" 2 25 0.0588 0.05 0.9 218463 218463 218463
"121" "eta" 3 25 0.0588 0.05 0.9 161 161 161
"122" "epsilon" 3 25 0.0588 0.05 0.9 145977 145977 145977
"123" "omega" 3 25 0.0588 0.05 0.9 145811 145811 145811
"124" "eta" 4 25 0.0588 0.05 0.9 3 3 3
"125" "epsilon" 4 25 0.0588 0.05 0.9 104211 104211 104211
"126" "omega" 4 25 0.0588 0.05 0.9 103942 103942 103942
"127" "eta" 2 50 0.0588 0.05 0.9 2593 2593 2593
"128" "epsilon" 2 50 0.0588 0.05 0.9 67112 67112 67112
"129" "omega" 2 50 0.0588 0.05 0.9 67157 67157 67157
"130" "eta" 3 50 0.0588 0.05 0.9 23 23 23
"131" "epsilon" 3 50 0.0588 0.05 0.9 29590 29590 29590
"132" "omega" 3 50 0.0588 0.05 0.9 29823 29823 29823
"133" "eta" 4 50 0.0588 0.05 0.9 0 0 0
"134" "epsilon" 4 50 0.0588 0.05 0.9 13951 13951 13951
"135" "omega" 4 50 0.0588 0.05 0.9 13737 13737 13737
"136" "eta" 2 10 0.1379 0.05 0.9 4953 4953 4953
"137" "epsilon" 2 10 0.1379 0.05 0.9 211307 211307 211307
"138" "omega" 2 10 0.1379 0.05 0.9 211232 211232 211232
"139" "eta" 3 10 0.1379 0.05 0.9 62 62 62
"140" "epsilon" 3 10 0.1379 0.05 0.9 143007 143007 143007
"141" "omega" 3 10 0.1379 0.05 0.9 141844 141844 141844
"142" "eta" 4 10 0.1379 0.05 0.9 1 1 1
"143" "epsilon" 4 10 0.1379 0.05 0.9 101460 101460 101460
"144" "omega" 4 10 0.1379 0.05 0.9 101061 101061 101061
"145" "eta" 2 25 0.1379 0.05 0.9 670 670 670
"146" "epsilon" 2 25 0.1379 0.05 0.9 33664 33664 33664
"147" "omega" 2 25 0.1379 0.05 0.9 34194 34194 34194
"148" "eta" 3 25 0.1379 0.05 0.9 2 2 2
"149" "epsilon" 3 25 0.1379 0.05 0.9 11741 11741 11741
"150" "omega" 3 25 0.1379 0.05 0.9 11857 11857 11857
"151" "eta" 4 25 0.1379 0.05 0.9 0 0 0
"152" "epsilon" 4 25 0.1379 0.05 0.9 4244 4244 4244
"153" "omega" 4 25 0.1379 0.05 0.9 4335 4335 4335
"154" "eta" 2 50 0.1379 0.05 0.9 21 21 21
"155" "epsilon" 2 50 0.1379 0.05 0.9 1384 1384 1384
"156" "omega" 2 50 0.1379 0.05 0.9 1421 1421 1421
"157" "eta" 3 50 0.1379 0.05 0.9 0 0 0
"158" "epsilon" 3 50 0.1379 0.05 0.9 156 156 156
"159" "omega" 3 50 0.1379 0.05 0.9 136 136 136
"160" "eta" 4 50 0.1379 0.05 0.9 0 0 0
"161" "epsilon" 4 50 0.1379 0.05 0.9 10 10 10
"162" "omega" 4 50 0.1379 0.05 0.9 10 10 10
